repo,stars,created_at,age_years,merged_prs
codecrafters-io/build-your-own-x,543200,2018-05-09T12:03:18Z,8.3,157
sindresorhus/awesome,500220,2014-07-11T13:42:37Z,12.13,702
public-apis/public-apis,471027,2016-03-20T23:49:42Z,10.43,2161
freeCodeCamp/freeCodeCamp,454640,2014-12-24T17:49:19Z,11.67,29201
EbookFoundation/free-programming-books,395275,2013-10-11T06:50:37Z,12.87,7424
openclaw/openclaw,387714,2025-11-24T10:16:47Z,0.75,28697
donnemartin/system-design-primer,366232,2017-02-26T16:15:28Z,9.49,210
nilbuild/developer-roadmap,365506,2017-03-15T13:45:52Z,9.45,4401
jwasham/coding-interview-university,359797,2016-06-06T02:34:12Z,10.22,415
vinta/awesome-python,316256,2014-06-27T21:00:06Z,12.16,744
awesome-selfhosted/awesome-selfhosted,315404,2015-06-01T02:33:17Z,11.24,0
practical-tutorials/project-based-learning,280982,2017-04-12T05:07:46Z,9.37,194
obra/superpowers,278080,2025-10-09T19:45:18Z,0.88,167
996icu/996.ICU,276783,2019-03-26T07:31:14Z,7.42,1072
react/react,247905,2013-05-24T16:15:54Z,13.26,13053
torvalds/linux,244496,2011-09-04T22:48:12Z,14.98,0
affaan-m/ECC,243506,2026-01-18T00:51:51Z,0.6,998
trimstray/the-book-of-secret-knowledge,240518,2018-06-23T10:43:14Z,8.18,122
mattpocock/skills,237901,2026-02-03T11:15:53Z,0.56,95
NousResearch/hermes-agent,236878,2025-07-22T22:22:28Z,1.1,11916
TheAlgorithms/Python,224044,2016-07-16T09:44:01Z,10.11,3090
vuejs/vue,210689,2013-07-29T03:24:51Z,13.08,1136
ossu/computer-science,208438,2014-05-04T00:18:39Z,12.31,315
multica-ai/andrej-karpathy-skills,207688,2026-01-27T03:53:13Z,0.58,12
n8n-io/n8n,202525,2019-06-22T09:24:21Z,7.18,20513
anomalyco/opencode,201694,2025-04-30T20:08:00Z,1.32,7877
deepseek-ai/deepseek-harness,197886,2026-08-13T11:56:32Z,0.04,0
tensorflow/tensorflow,197637,2015-11-07T01:19:20Z,10.8,49389
trekhleb/javascript-algorithms,196565,2018-03-24T07:47:04Z,8.42,309
DigitalPlatDev/FreeDomain,195849,2024-05-30T13:23:00Z,2.24,0
ultraworkers/claw-code,195117,2026-03-31T08:58:08Z,0.41,143
microsoft/vscode,189629,2015-09-03T20:23:38Z,10.98,52559
ohmyzsh/ohmyzsh,189396,2009-08-28T18:15:37Z,16.99,3660
massgravel/Microsoft-Activation-Scripts,188373,2020-01-12T23:03:34Z,6.62,0
yt-dlp/yt-dlp,187153,2020-10-26T04:22:55Z,5.83,3425
Significant-Gravitas/AutoGPT,186901,2023-03-16T09:21:07Z,3.45,4808
CyC2018/CS-Notes,185669,2018-02-13T14:56:24Z,8.53,374
jackfrued/Python-100-Days,185643,2018-03-01T16:05:52Z,8.49,13
getify/You-Dont-Know-JS,184741,2013-11-16T02:37:24Z,12.77,370
avelino/awesome-go,182353,2014-07-06T13:42:15Z,12.14,3890
ollama/ollama,179520,2023-06-26T19:39:32Z,3.17,3566
flutter/flutter,178664,2015-03-06T22:54:58Z,11.47,49835
microsoft/markitdown,176482,2024-11-13T19:56:40Z,1.78,184
github/gitignore,175467,2010-11-08T20:17:14Z,15.8,1780
twbs/bootstrap,174655,2011-07-29T21:19:00Z,15.08,9503
521xueweihan/HelloGitHub,173124,2016-05-04T06:24:11Z,10.31,17
firecrawl/firecrawl,172793,2024-04-15T21:02:29Z,2.36,1977
anthropics/skills,171817,2025-09-22T15:53:31Z,0.93,51
f/prompts.chat,167964,2022-12-05T13:54:13Z,3.72,236
