repo,stars,created_at,age_years,merged_prs
codecrafters-io/build-your-own-x,539371,2018-05-09T12:03:18Z,8.26,153
sindresorhus/awesome,495286,2014-07-11T13:42:37Z,12.09,691
public-apis/public-apis,455898,2016-03-20T23:49:42Z,10.4,2088
freeCodeCamp/freeCodeCamp,453954,2014-12-24T17:49:19Z,11.63,28700
EbookFoundation/free-programming-books,394321,2013-10-11T06:50:37Z,12.84,7205
openclaw/openclaw,386181,2025-11-24T10:16:47Z,0.72,24534
nilbuild/developer-roadmap,364325,2017-03-15T13:45:52Z,9.41,4364
donnemartin/system-design-primer,363616,2017-02-26T16:15:28Z,9.46,207
jwasham/coding-interview-university,358629,2016-06-06T02:34:12Z,10.18,409
vinta/awesome-python,313755,2014-06-27T21:00:06Z,12.13,725
awesome-selfhosted/awesome-selfhosted,312396,2015-06-01T02:33:17Z,11.2,0
practical-tutorials/project-based-learning,279014,2017-04-12T05:07:46Z,9.34,186
996icu/996.ICU,276624,2019-03-26T07:31:14Z,7.38,1027
obra/superpowers,271627,2025-10-09T19:45:18Z,0.84,167
react/react,247225,2013-05-24T16:15:54Z,13.22,12976
torvalds/linux,242737,2011-09-04T22:48:12Z,14.94,0
affaan-m/ECC,239907,2026-01-18T00:51:51Z,0.57,987
trimstray/the-book-of-secret-knowledge,238160,2018-06-23T10:43:14Z,8.14,116
NousResearch/hermes-agent,229993,2025-07-22T22:22:28Z,1.06,10458
TheAlgorithms/Python,223723,2016-07-16T09:44:01Z,10.08,3060
