repo,stars,primary_language,closed_issues,total_issues,closed_issue_ratio
codecrafters-io/build-your-own-x,543200,Markdown,673,948,0.7099
sindresorhus/awesome,500224,N/A,352,368,0.9565
public-apis/public-apis,471030,Python,911,942,0.9671
freeCodeCamp/freeCodeCamp,454640,TypeScript,21959,22108,0.9933
EbookFoundation/free-programming-books,395275,Python,1256,1296,0.9691
openclaw/openclaw,387715,TypeScript,45303,48839,0.9276
donnemartin/system-design-primer,366232,Python,127,405,0.3136
nilbuild/developer-roadmap,365506,TypeScript,3185,3189,0.9987
jwasham/coding-interview-university,359797,N/A,455,537,0.8473
vinta/awesome-python,316258,Python,0,0,N/A
awesome-selfhosted/awesome-selfhosted,315407,N/A,0,0,N/A
practical-tutorials/project-based-learning,280984,Python,89,241,0.3693
obra/superpowers,278086,Shell,755,867,0.8708
996icu/996.ICU,276783,N/A,0,0,N/A
react/react,247905,JavaScript,13804,14632,0.9434
torvalds/linux,244494,C,0,0,N/A
affaan-m/ECC,243507,JavaScript,668,721,0.9265
trimstray/the-book-of-secret-knowledge,240521,N/A,0,0,N/A
mattpocock/skills,237907,Shell,318,728,0.4368
NousResearch/hermes-agent,236881,Python,11871,24177,0.491
TheAlgorithms/Python,224044,Python,1608,1754,0.9168
vuejs/vue,210689,TypeScript,9670,10034,0.9637
ossu/computer-science,208438,HTML,658,675,0.9748
multica-ai/andrej-karpathy-skills,207691,N/A,0,0,N/A
n8n-io/n8n,202525,TypeScript,9786,10128,0.9662
anomalyco/opencode,201698,TypeScript,20846,24964,0.835
deepseek-ai/deepseek-harness,197901,TypeScript,0,0,N/A
tensorflow/tensorflow,197637,C++,40986,41724,0.9823
trekhleb/javascript-algorithms,196566,JavaScript,238,373,0.6381
DigitalPlatDev/FreeDomain,195850,Markdown,0,0,N/A
ultraworkers/claw-code,195117,Rust,2195,2212,0.9923
microsoft/vscode,189629,TypeScript,234041,251775,0.9296
ohmyzsh/ohmyzsh,189396,Shell,4927,5080,0.9699
massgravel/Microsoft-Activation-Scripts,188372,Batchfile,1074,1079,0.9954
yt-dlp/yt-dlp,187154,Python,9991,11972,0.8345
Significant-Gravitas/AutoGPT,186901,Python,3654,3946,0.926
CyC2018/CS-Notes,185669,N/A,449,579,0.7755
jackfrued/Python-100-Days,185643,Jupyter Notebook,193,737,0.2619
getify/You-Dont-Know-JS,184741,N/A,947,947,1.0
avelino/awesome-go,182354,Go,736,759,0.9697
ollama/ollama,179521,Go,8644,11073,0.7806
flutter/flutter,178665,Dart,102788,115326,0.8913
microsoft/markitdown,176483,Python,181,583,0.3105
github/gitignore,175467,N/A,0,0,N/A
twbs/bootstrap,174655,MDX,22841,22943,0.9956
521xueweihan/HelloGitHub,173124,Python,2710,3354,0.808
firecrawl/firecrawl,172795,TypeScript,887,961,0.923
anthropics/skills,171822,Python,50,379,0.1319
f/prompts.chat,167965,HTML,152,173,0.8786
AUTOMATIC1111/stable-diffusion-webui,164679,Python,5491,7912,0.694
huggingface/transformers,164473,Python,18519,19381,0.9555
jlevy/the-art-of-command-line,162178,N/A,138,264,0.5227
Snailclimb/JavaGuide,158051,JavaScript,1143,1160,0.9853
langflow-ai/langflow,153718,Python,3215,3439,0.9349
langgenius/dify,153593,TypeScript,18438,18730,0.9844
open-webui/open-webui,150028,Python,9323,9478,0.9836
Genymobile/scrcpy,148331,C,3357,6152,0.5457
msitarzewski/agency-agents,148218,Shell,88,148,0.5946
airbnb/javascript,148137,JavaScript,1316,1416,0.9294
langchain-ai/langchain,145075,Python,9729,10071,0.966
x1xhlol/system-prompts-and-models-of-ai-tools,143154,N/A,122,212,0.5755
anthropics/claude-code,143090,Python,72890,87194,0.836
yangshun/tech-interview-handbook,142188,TypeScript,92,127,0.7244
vercel/next.js,141948,JavaScript,23841,25269,0.9435
ytdl-org/youtube-dl,141040,Python,23205,26832,0.8648
clash-verge-rev/clash-verge-rev,140314,TypeScript,5435,5826,0.9329
microsoft/PowerToys,138135,C,33838,41261,0.8201
iptv-org/iptv,136791,TypeScript,35287,35350,0.9982
golang/go,136473,Go,63461,73055,0.8687
labuladong/fucking-algorithm,135470,Markdown,981,981,1.0
ripienaar/free-for-dev,135410,HTML,0,0,N/A
Shubhamsaboo/awesome-llm-apps,134598,Python,167,174,0.9598
github/spec-kit,131686,Python,1392,1563,0.8906
excalidraw/excalidraw,130581,TypeScript,2652,4934,0.5375
Comfy-Org/ComfyUI,130151,Python,5059,9209,0.5494
garrytan/gstack,129862,TypeScript,491,789,0.6223
krahets/hello-algo,129622,Java,278,292,0.9521
farion1231/cc-switch,129568,Rust,3208,4826,0.6647
Chalarangelo/30-seconds-of-code,128835,JavaScript,300,300,1.0
react/react-native,126421,C++,27113,27790,0.9756
ggml-org/llama.cpp,125799,C++,8853,9685,0.9141
kubernetes/kubernetes,125207,Go,47711,49580,0.9623
electron/electron,122728,C++,21211,21843,0.9711
shadcn-ui/ui,122211,TypeScript,3184,4254,0.7485
rustdesk/rustdesk,121898,Rust,4242,4327,0.9804
nextlevelbuilder/ui-ux-pro-max-skill,121351,Python,135,178,0.7584
nodejs/node,119568,JavaScript,20169,20807,0.9693
Hack-with-Github/Awesome-Hacking,119099,N/A,0,0,N/A
openai/codex,118771,Rust,10662,24472,0.4357
microsoft/generative-ai-for-beginners,118609,Jupyter Notebook,244,244,1.0
justjavac/free-programming-books-zh_CN,118521,N/A,0,0,N/A
harry0703/MoneyPrinterTurbo,116900,Python,781,787,0.9924
rust-lang/rust,116189,Rust,52389,63664,0.8229
godotengine/godot,116180,C++,50033,63455,0.7885
mrdoob/three.js,114817,JavaScript,13507,13755,0.982
2dust/v2rayN,114739,C#,7146,7153,0.999
d3/d3,113559,Shell,2242,2247,0.9978
immich-app/immich,112733,TypeScript,8709,9197,0.9469
DietrichGebert/ponytail,112505,JavaScript,211,278,0.759
jaywcjlove/awesome-mac,111843,Swift,405,565,0.7168
Graphify-Labs/graphify,111062,Python,956,1490,0.6416
browser-use/browser-use,110945,Python,1505,1617,0.9307
microsoft/TypeScript,110715,Go,38313,43425,0.8823
VoltAgent/awesome-design-md,110647,N/A,78,385,0.2026
tauri-apps/tauri,110586,Rust,5136,6426,0.7993
axios/axios,109191,JavaScript,5009,5057,0.9905
fatedier/frp,109040,Go,4107,4148,0.9901
papers-we-love/papers-we-love,109021,Shell,250,252,0.9921
supabase/supabase,108437,TypeScript,5582,5866,0.9516
denoland/deno,108308,Rust,13844,15030,0.9211
openai/whisper,107977,Python,0,0,N/A
google-gemini/gemini-cli,106695,TypeScript,13711,14311,0.9581
goldbergyoni/nodebestpractices,105599,Dockerfile,288,343,0.8397
microsoft/terminal,104694,C++,12419,14091,0.8813
deepseek-ai/DeepSeek-V3,104416,Python,944,1078,0.8757
rasbt/LLMs-from-scratch,103853,Jupyter Notebook,239,240,0.9958
react/create-react-app,103280,JavaScript,6576,8432,0.7799
pytorch/pytorch,102603,Python,46628,60568,0.7698
neovim/neovim,101986,Vim Script,12931,14517,0.8907
