linguagem,qtd_repos,mediana_prs_aceitas,mediana_releases,mediana_dias_sem_update
Python,228,534.5,21.0,2.0
TypeScript,173,1979.0,134.0,0.0
JavaScript,109,617.0,39.0,5.0
N/A,87,129.0,0.0,177.0
Go,77,1961.0,142.0,0.0
Rust,58,2392.0,96.5,0.0
C++,42,1200.0,59.0,0.0
Java,41,946.0,55.0,1.0
Jupyter Notebook,24,78.5,0.0,25.5
C,21,294.0,46.0,0.0
Shell,20,393.0,9.5,7.5
Ruby,13,6281.0,28.0,0.0
HTML,11,232.0,0.0,13.0
Swift,10,705.0,38.5,1.5
Kotlin,9,258.0,75.0,2.0
C#,8,3132.0,127.0,0.0
CSS,8,185.5,2.0,362.0
Dart,6,593.0,35.5,3.5
Vue,6,402.0,40.5,287.5
Markdown,5,244.0,0.0,15.0
MDX,4,380.0,1.0,12.5
Clojure,4,5190.0,119.0,0.0
PHP,4,10684.0,579.5,0.0
Vim Script,3,440.0,8.0,0.0
Zig,3,4560.0,20.0,0.0
Dockerfile,2,383.5,0.5,410.5
Scala,2,5.0,0.0,176.0
PowerShell,2,803.0,42.0,2.0
Makefile,2,3012.5,169.5,62.0
Haskell,2,1074.0,94.0,11.0
Astro,2,1266.5,75.5,0.0
TeX,2,19.0,3.5,2076.0
Batchfile,1,0.0,31.0,53.0
Blade,1,1710.0,228.0,1.0
Roff,1,1.0,0.0,312.0
Assembly,1,0.0,0.0,42.0
Nunjucks,1,485.0,0.0,70.0
Julia,1,27836.0,203.0,0.0
Lua,1,6532.0,147.0,10.0
Svelte,1,252.0,0.0,142.0
LLVM,1,98274.0,160.0,0.0
V,1,13835.0,304.0,0.0
Elixir,1,898.0,12.0,72.0
Objective-C,1,710.0,40.0,1317.0
