repo,stars,total_releases,pushed_at,days_since_update
codecrafters-io/build-your-own-x,541297,0,2026-07-14T19:25:58Z,36
sindresorhus/awesome,497821,0,2026-08-18T13:28:50Z,1
public-apis/public-apis,465993,0,2026-08-19T21:44:19Z,0
freeCodeCamp/freeCodeCamp,454335,0,2026-08-19T20:39:53Z,0
EbookFoundation/free-programming-books,394794,0,2026-08-18T14:16:15Z,1
openclaw/openclaw,386806,234,2026-08-19T23:25:09Z,0
nilbuild/developer-roadmap,364941,1,2026-08-18T11:56:04Z,1
donnemartin/system-design-primer,364924,0,2026-03-20T01:52:19Z,152
jwasham/coding-interview-university,359251,0,2025-08-28T14:42:47Z,356
vinta/awesome-python,314964,0,2026-08-16T13:31:43Z,3
awesome-selfhosted/awesome-selfhosted,313757,1,2026-08-19T10:02:51Z,0
practical-tutorials/project-based-learning,279971,0,2026-08-17T06:46:47Z,2
996icu/996.ICU,276727,0,2025-08-22T06:01:29Z,362
obra/superpowers,274247,12,2026-08-19T17:33:23Z,0
react/react,247426,132,2026-08-19T17:57:20Z,0
torvalds/linux,243319,0,2026-08-19T21:24:34Z,0
affaan-m/ECC,241183,15,2026-08-19T22:53:56Z,0
trimstray/the-book-of-secret-knowledge,239220,0,2024-11-19T14:00:38Z,638
NousResearch/hermes-agent,233037,28,2026-08-19T23:22:32Z,0
TheAlgorithms/Python,223885,0,2026-08-03T18:44:56Z,16
mattpocock/skills,223727,7,2026-08-19T13:09:36Z,0
vuejs/vue,210236,249,2024-10-10T07:24:15Z,678
ossu/computer-science,208181,0,2026-07-14T05:38:25Z,36
multica-ai/andrej-karpathy-skills,203948,0,2026-04-20T10:05:04Z,121
n8n-io/n8n,201218,767,2026-08-19T22:32:08Z,0
anomalyco/opencode,199227,860,2026-08-19T23:08:27Z,0
tensorflow/tensorflow,197068,222,2026-08-19T23:24:58Z,0
trekhleb/javascript-algorithms,196530,0,2026-07-26T02:43:08Z,24
ultraworkers/claw-code,195088,0,2026-08-16T06:18:45Z,3
DigitalPlatDev/FreeDomain,194351,0,2026-08-12T10:36:46Z,7
ohmyzsh/ohmyzsh,189269,0,2026-08-17T21:45:08Z,2
microsoft/vscode,188940,234,2026-08-19T23:24:27Z,0
massgravel/Microsoft-Activation-Scripts,187599,31,2026-07-04T16:54:38Z,46
Significant-Gravitas/AutoGPT,186689,117,2026-08-19T22:35:44Z,0
yt-dlp/yt-dlp,185646,135,2026-08-19T23:23:07Z,0
CyC2018/CS-Notes,185497,0,2024-08-21T09:40:10Z,728
jackfrued/Python-100-Days,185393,0,2026-07-29T15:18:29Z,21
getify/You-Dont-Know-JS,184715,0,2026-02-15T04:36:44Z,185
avelino/awesome-go,181581,0,2026-08-19T18:22:56Z,0
ollama/ollama,178983,246,2026-08-19T22:45:20Z,0
flutter/flutter,178502,7,2026-08-19T23:00:05Z,0
github/gitignore,175378,0,2026-07-23T16:06:45Z,27
microsoft/markitdown,174702,20,2026-08-19T19:36:22Z,0
twbs/bootstrap,174618,94,2026-08-19T02:15:32Z,0
521xueweihan/HelloGitHub,171803,68,2026-08-02T07:58:25Z,17
anthropics/skills,170480,0,2026-08-18T16:02:06Z,1
firecrawl/firecrawl,169628,35,2026-08-19T23:16:54Z,0
f/prompts.chat,167591,0,2026-08-19T03:21:13Z,0
deepseek-ai/deepseek-harness,167063,2,2026-08-19T15:37:57Z,0
AUTOMATIC1111/stable-diffusion-webui,164585,27,2026-03-02T07:00:53Z,170
huggingface/transformers,164269,269,2026-08-19T22:45:28Z,0
jlevy/the-art-of-command-line,162129,0,2024-06-25T18:13:44Z,785
Snailclimb/JavaGuide,157890,0,2026-08-18T13:05:40Z,1
langflow-ai/langflow,153482,304,2026-08-19T23:13:59Z,0
langgenius/dify,152921,168,2026-08-19T23:24:07Z,0
open-webui/open-webui,149270,167,2026-08-19T23:14:53Z,0
airbnb/javascript,148132,0,2026-04-16T19:24:09Z,125
Genymobile/scrcpy,147935,52,2026-08-17T10:27:07Z,2
msitarzewski/agency-agents,146301,0,2026-08-06T13:29:47Z,13
langchain-ai/langchain,144579,1000,2026-08-19T22:35:36Z,0
x1xhlol/system-prompts-and-models-of-ai-tools,142941,0,2026-08-11T13:01:09Z,8
anthropics/claude-code,142013,192,2026-08-19T20:02:05Z,0
yangshun/tech-interview-handbook,142008,0,2026-08-07T12:06:42Z,12
vercel/next.js,141871,1000,2026-08-19T23:24:51Z,0
ytdl-org/youtube-dl,140976,341,2026-02-19T16:45:25Z,181
clash-verge-rev/clash-verge-rev,138871,67,2026-08-19T14:08:56Z,0
microsoft/PowerToys,137889,142,2026-08-19T20:15:09Z,0
iptv-org/iptv,136203,0,2026-08-19T17:40:00Z,0
golang/go,135911,0,2026-08-19T22:49:50Z,0
labuladong/fucking-algorithm,135385,0,2026-02-28T10:07:31Z,172
Shubhamsaboo/awesome-llm-apps,133259,0,2026-08-17T02:42:50Z,2
ripienaar/free-for-dev,132222,0,2026-08-17T11:45:22Z,2
github/spec-kit,130329,213,2026-08-19T22:25:02Z,0
excalidraw/excalidraw,130039,15,2026-08-16T15:30:04Z,3
krahets/hello-algo,129486,10,2026-08-17T20:58:58Z,2
garrytan/gstack,128748,0,2026-08-19T21:23:55Z,0
Chalarangelo/30-seconds-of-code,128745,12,2026-08-19T06:19:54Z,0
Comfy-Org/ComfyUI,128462,153,2026-08-19T06:59:54Z,0
farion1231/cc-switch,128299,51,2026-08-19T05:49:45Z,0
react/react-native,126366,471,2026-08-19T19:43:29Z,0
ggml-org/llama.cpp,124728,1000,2026-08-19T23:20:36Z,0
kubernetes/kubernetes,124606,810,2026-08-19T18:57:07Z,0
electron/electron,122585,1000,2026-08-19T23:22:35Z,0
shadcn-ui/ui,121661,117,2026-08-19T02:51:52Z,0
rustdesk/rustdesk,121274,39,2026-08-19T07:31:40Z,0
nodejs/node,119020,512,2026-08-19T20:59:57Z,0
Hack-with-Github/Awesome-Hacking,118641,0,2026-07-26T03:29:02Z,24
justjavac/free-programming-books-zh_CN,118401,3,2026-07-29T00:39:06Z,21
nextlevelbuilder/ui-ux-pro-max-skill,118239,41,2026-08-18T18:16:41Z,1
microsoft/generative-ai-for-beginners,118112,0,2026-08-13T03:43:40Z,6
godotengine/godot,115885,72,2026-08-19T22:46:21Z,0
rust-lang/rust,115613,153,2026-08-19T20:56:29Z,0
mrdoob/three.js,114616,177,2026-08-19T18:46:01Z,0
2dust/v2rayN,114234,333,2026-08-19T05:48:59Z,0
d3/d3,113500,194,2026-05-28T14:43:01Z,83
immich-app/immich,111846,305,2026-08-19T21:49:45Z,0
jaywcjlove/awesome-mac,111449,15,2026-08-19T05:26:55Z,0
harry0703/MoneyPrinterTurbo,110547,17,2026-08-19T08:30:15Z,0
tauri-apps/tauri,110375,0,2026-08-19T14:04:02Z,0
microsoft/TypeScript,110213,217,2026-08-14T19:07:48Z,5
